Year,Month,Precipitation
1993,3,132.3
1993,4,189.0
1993,5,85.60000000000001
1993,6,99.8
1993,7,9.0
1993,8,150.6
1993,9,131.5
1993,10,123.4
1993,11,134.9
1993,12,182.8
1994,1,317.0
1994,2,157.6
1994,3,153.2
1994,4,123.8
1994,5,37.7
1994,6,58.199999999999996
1994,7,39.9
1994,8,0.0
1994,9,0.2
1994,10,151.4
1994,11,150.3
1994,12,262.2
1995,1,219.6
1995,2,548.9
1995,3,208.5
1995,4,127.7
1995,5,80.89999999999999
1995,6,21.6
1995,7,43.6
1995,8,0.0
1995,9,26.6
1995,10,144.5
1995,11,169.6
1995,12,217.0
1996,1,443.0
1996,2,243.6
1996,3,199.5
1996,4,109.8
1996,5,54.4
1996,6,22.8
1996,7,7.3999999999999995
1996,8,21.1
1996,9,125.60000000000001
1996,10,148.3
1996,11,191.6
1996,12,302.1
1997,1,251.0
1997,2,290.7
1997,3,65.0
1997,4,48.6
1997,5,105.4
1997,6,213.2
1997,7,26.099999999999998
1997,8,0.5
1997,9,71.8
1997,10,99.5
1997,11,311.2
1997,12,150.1
1998,1,276.4
1998,2,223.4
1998,3,171.5
1998,4,127.19999999999999
1998,5,92.39999999999999
1998,6,7.2
1998,7,0.3
1998,8,31.5
1998,9,73.0
1998,10,213.7
1998,11,76.60000000000001
1998,12,359.2
1999,1,477.9
1999,2,288.9
1999,3,0.0
1999,4,93.89999999999999
1999,5,23.9
1999,6,13.9
1999,7,4.3
1999,8,0.0
1999,9,61.1
1999,10,64.69999999999999
1999,11,98.60000000000001
1999,12,270.6
2000,1,277.6
2000,2,316.3
2000,3,247.8
2000,4,24.6
2000,5,7.9
2000,6,13.3
2000,7,24.9
2000,8,49.4
2000,9,159.6
2000,10,87.3
2000,11,276.6
2000,12,234.1
2001,1,255.5
2001,2,89.3
2001,3,163.4
2001,4,30.5
2001,5,67.3
2001,6,10.5
2001,7,4.1000000000000005
2001,8,46.6
2001,9,110.2
2001,10,164.70000000000002
2001,11,179.4
2001,12,341.3
2002,1,358.5
2002,2,352.2
2002,3,100.8
2002,4,1.1
2002,5,56.9
2002,6,0.0
2002,7,6.4
2002,8,55.2
2002,9,46.9
2002,10,38.300000000000004
2002,11,166.8
2002,12,301.0
2003,1,430.9
2003,2,170.7
2003,3,31.200000000000003
2003,4,54.4
2003,5,43.3
2003,6,10.9
2003,7,2.9
2003,8,11.1
2003,9,15.3
2003,10,75.2
2003,11,154.5
2003,12,175.8
2004,1,376.59999999999997
2004,2,276.8
2004,3,68.8
2004,4,46.9
2004,5,115.0
2004,6,21.099999999999998
2004,7,48.099999999999994
2004,8,0.0
2004,9,13.1
2004,10,121.1
2004,11,223.6
2004,12,290.5
2005,1,499.8
2005,2,62.0
2005,3,238.4
2005,4,72.39999999999999
2005,5,69.1
2005,6,23.7
2005,7,7.6000000000000005
2005,8,9.4
2005,9,48.2
2005,10,160.29999999999998
2005,11,160.7
2005,12,278.6
2006,1,220.9
2006,2,277.6
2006,3,157.1
2006,4,40.2
2006,5,6.2
2006,6,10.2
2006,7,13.899999999999999
2006,8,17.4
2006,9,47.5
2006,10,149.8
2006,11,125.1
2006,12,260.4
2007,1,438.6
2007,2,189.2
2007,3,107.7
2007,4,70.1
2007,5,67.0
2007,6,6.0
2007,7,136.9
2007,8,0.6
2007,9,0.30000000000000004
2007,10,54.1
2007,11,188.4
2007,12,129.1
2008,1,178.6
2008,2,193.4
2008,3,160.7
2008,4,92.9
2008,5,29.900000000000002
2008,6,31.700000000000003
2008,7,0.0
2008,8,46.7
2008,9,34.4
2008,10,79.10000000000001
2008,11,62.7
2008,12,163.7
2009,1,335.3
2009,2,176.7
2009,3,314.4
2009,4,98.5
2009,5,34.900000000000006
2009,6,30.7
2009,7,72.2
2009,8,159.9
2009,9,135.29999999999998
2009,10,81.8
2009,11,248.3
2009,12,414.5
2010,1,347.2
2010,2,113.7
2010,3,192.0
2010,4,120.0
2010,5,12.8
2010,6,19.099999999999998
2010,7,34.6
2010,8,0.0
2010,9,98.9
2010,10,67.4
2010,11,61.300000000000004
2010,12,151.0
2011,1,437.0
2011,2,346.40000000000003
2011,3,283.4
2011,4,86.9
2011,5,5.5
2011,6,42.7
2011,7,0.0
2011,8,22.9
2011,9,3.2
2011,10,179.0
2011,11,134.2
2011,12,232.5
2012,1,344.9
2012,2,97.7
2012,3,44.1
2012,4,154.8
2012,5,90.8
2012,6,191.9
2012,7,42.699999999999996
2012,8,2.4
2012,9,77.4
2012,10,97.3
2012,11,174.0
2012,12,228.4
2013,1,281.5
2013,2,222.10000000000002
2013,3,181.8
2013,4,70.4
2013,5,142.0
2013,6,43.8
2013,7,43.3
2013,8,23.5
2013,9,61.7
2013,10,174.6
2013,11,156.8
2013,12,119.6
2014,1,72.1
2014,2,42.5
2014,3,161.9
2014,4,95.9
2014,5,44.800000000000004
2014,6,3.0
2014,7,28.9
2014,8,1.6
2014,9,116.19999999999999
2014,10,58.3
2014,11,200.2
2014,12,286.0
2015,1,124.4
2015,2,206.29999999999998
2015,3,213.29999999999998
2015,4,43.2
2015,5,67.4
2015,6,11.299999999999999
2015,7,70.10000000000001
2015,8,8.8
2015,9,159.3
2015,10,44.5
2015,11,266.2
2015,12,156.7
2016,1,463.4
2016,2,191.1
2016,3,1.2
2016,4,10.4
2016,5,135.6
2016,6,102.1
2016,7,2.5
2016,8,25.6
2016,9,26.4
2016,10,130.6
2016,11,138.3
2016,12,178.2
2017,1,173.0
2017,2,141.3
2017,3,4.3
2017,4,160.3
2017,5,93.5
2017,6,8.4
2017,7,0.0
2017,8,14.5
2017,9,34.0
2017,10,126.1
2017,11,158.0
2017,12,65.8
2018,1,172.4
2018,2,127.9
2018,3,128.4
2018,4,5.5
2018,5,4.6
2018,6,0.1
2018,7,3.4
2018,8,80.4
2018,9,41.3
2018,10,242.1
2018,11,101.3
2018,12,38.0
2019,1,131.8
2019,2,156.0
2019,3,123.3
2019,4,69.60000000000001
2019,5,32.7
2019,6,2.8
2019,7,34.0
2019,8,7.8999999999999995
2019,9,52.0
2019,10,45.3
2019,11,145.5
2019,12,61.8
2020,1,163.0
2020,2,409.0
2020,3,26.8
2020,4,0.0
2020,5,0.0
2020,6,0.0
2020,7,0.0
2020,8,0.0
2020,9,0.0
2020,10,0.0
2020,11,0.0
2020,12,0.0
2021,1,0.0
